kill11,death11,damage_done11,damage_taken11,shielding11,kill12,death12,damage_done12,damage_taken12,shielding12,kill13,death13,damage_done13,damage_taken13,shielding13,kill14,death14,damage_done14,damage_taken14,shielding14,kill15,death15,damage_done15,damage_taken15,shielding15,team1,kill21,death21,damage_done21,damage_taken21,shielding21,kill22,death22,damage_done22,damage_taken22,shielding22,kill23,death23,damage_done23,damage_taken23,shielding23,kill24,death24,damage_done24,damage_taken24,shielding24,kill25,death25,damage_done25,damage_taken25,shielding25,team2,winning_team
5 , 5 ,23658,30704,0,1 , 7 ,29719,54078,0,17 , 4 ,69514,42420,0,15 , 6 ,48046,38678,3001,16 , 13 ,43420,44073,0,7192376467,5 , 11 ,26957,28331,0,4 , 12 ,34377,44823,0,4 , 9 ,47826,52194,2262,14 , 13 ,65892,42385,0,8 , 9 ,34901,46624,0,16610047277,0
1 , 12 ,23154,89367,64706,8 , 10 ,55795,37051,0,6 , 13 ,40865,46178,0,7 , 6 ,50586,23171,0,0 , 14 ,12107,37388,0,127576315,22 , 5 ,70161,35631,0,8 , 4 ,44449,22032,5372,7 , 6 ,41540,29677,0,14 , 5 ,40427,31615,0,4 , 2 ,36578,63552,31423,1033739519,1
12 , 13 ,46211,39150,1100,5 , 9 ,60849,91513,64274,16 , 12 ,100373,46796,0,9 , 11 ,43506,92048,0,5 , 15 ,27679,50265,1900,160634242,16 , 13 ,78816,53519,0,11 , 8 ,71355,38045,15681,21 , 6 ,98389,27740,0,5 , 11 ,39377,74996,0,7 , 9 ,31835,84318,39376,919046129,1
8 , 5 ,62823,31269,0,9 , 9 ,27395,28330,0,8 , 5 ,56432,36843,0,2 , 5 ,42680,24275,3400,6 , 10 ,59328,35798,0,2008903199,5 , 6 ,29751,78805,1550,1 , 5 ,7726,34562,0,18 , 7 ,44395,34959,0,1 , 9 ,32001,63844,48381,9 , 6 ,42642,36488,0,189237189,1
4 , 3 ,16193,21535,0,7 , 1 ,26047,19810,0,4 , 3 ,16667,41912,33046,6 , 5 ,12248,19858,0,2 , 2 ,11849,14554,600,251004646,0 , 2 ,7957,13920,10925,0 , 5 ,7453,11088,0,4 , 7 ,22666,19316,0,0 , 6 ,17444,14803,0,10 , 3 ,62149,23877,1489,30829066,0
6 , 7 ,48172,53214,0,14 , 7 ,71456,56012,0,7 , 8 ,44547,62545,0,9 , 13 ,35589,54941,0,5 , 9 ,64226,35915,0,18894165071,15 , 9 ,86498,45872,12542,2 , 6 ,23963,36945,0,1 , 8 ,23954,85622,17403,7 , 9 ,62218,43491,0,19 , 9 ,65994,52060,0,524802767,1
6 , 12 ,34579,34740,0,3 , 3 ,22010,24414,0,4 , 11 ,42866,43767,0,1 , 13 ,20954,38311,0,4 , 9 ,33993,102843,24960,796610503,10 , 4 ,64130,31280,0,6 , 5 ,31349,45199,22817,14 , 3 ,60763,17710,0,11 , 3 ,50957,35358,0,7 , 3 ,36876,24855,553,80307561,1
3 , 9 ,21287,33794,0,7 , 10 ,21551,25703,0,1 , 10 ,16996,34862,0,11 , 9 ,53072,35637,0,4 , 7 ,35621,73087,27806,1459505749,11 , 7 ,34822,25764,0,6 , 4 ,48230,51459,0,5 , 6 ,28256,21254,935,12 , 5 ,49850,20922,0,11 , 4 ,41925,29128,1500,1483649941,1
10 , 5 ,52728,28745,0,1 , 5 ,17566,23043,0,11 , 1 ,45984,47162,42350,6 , 3 ,32063,18848,0,18 , 2 ,47602,29299,0,112049097,2 , 5 ,30657,21804,0,9 , 7 ,50683,25219,800,1 , 11 ,27987,73123,42223,2 , 10 ,17600,37395,1800,2 , 13 ,20170,38402,0,643957637,0
2 , 3 ,8649,11465,400,6 , 4 ,30607,17006,0,13 , 1 ,28493,45120,21501,9 , 4 ,22402,32861,39436,2 , 3 ,8425,16160,0,29537474,4 , 4 ,27767,19128,0,4 , 7 ,24226,21370,0,2 , 7 ,13240,17044,0,2 , 6 ,36083,19599,0,3 , 8 ,21296,21435,12010,4979576813,0
4 , 10 ,36501,91786,0,1 , 11 ,25145,33370,0,18 , 8 ,94532,41255,0,10 , 8 ,64493,74665,25142,8 , 12 ,50605,51481,0,56608714,10 , 6 ,52713,81029,19735,14 , 8 ,78344,44450,0,12 , 10 ,58289,36378,0,5 , 10 ,37037,65064,19770,11 , 7 ,66174,44355,5786,27142577,0
3 , 11 ,32107,53526,0,18 , 13 ,77236,51951,0,10 , 9 ,62903,111068,10373,19 , 13 ,91887,57142,0,2 , 13 ,23605,40131,0,360715553,13 , 8 ,55349,40481,0,13 , 13 ,59370,43447,0,10 , 9 ,101836,51923,0,15 , 10 ,63534,67512,0,7 , 9 ,33729,84375,0,3171360053,1
1 , 10 ,40046,30703,0,1 , 8 ,30265,70927,15180,4 , 9 ,23313,36922,0,3 , 5 ,35381,27716,1601,6 , 7 ,29567,22585,0,616272601,6 , 2 ,43459,27813,0,6 , 4 ,22885,21571,0,9 , 3 ,45200,28762,0,10 , 1 ,43139,55714,23778,8 , 6 ,34170,24712,0,450066089,1
15 , 9 ,77276,36342,0,5 , 14 ,39436,36428,0,10 , 13 ,50470,40279,0,8 , 9 ,62869,84683,0,13 , 9 ,79428,40063,32741,4384148371,13 , 5 ,60571,30524,0,6 , 9 ,28210,123714,0,14 , 11 ,52732,48308,17958,15 , 12 ,55273,62608,0,6 , 11 ,41009,44325,2660,1102513817,0
10 , 13 ,35100,32795,0,4 , 14 ,39507,62967,0,5 , 12 ,50990,112837,34626,4 , 13 ,51337,46377,0,1 , 10 ,12551,36753,0,1207616777,10 , 7 ,42520,27862,0,12 , 2 ,73345,19721,0,8 , 3 ,33114,68952,106730,27 , 4 ,98757,31490,0,5 , 8 ,43993,41460,0,297807917,1
